running_number,section,section_id,subsection,subsection_id,element,element_id,element_placeholder,element_type,details,suggestions,optional,inference,prediction,projection,rmm_fields,rmm_entities,rmm_family,homology_odmap_rmm,field_relevance,static_fields
1,Overview,o,Software,o_software,Software,o_software_1,"Please checkbox modelling software, packages and the version used.",modelling_packages,,,0,1,1,1,code$software,"platform,packages",base,1,2,0
2,Overview,o,Software,o_software,Code availability,o_software_2,Availability of codes in a repository,text,"For instance, the codes for BAM Landbird Models - Version 5 are in this repository: https://github.com/borealbirds/LandbirdModelsV5",,0,1,1,1,code,"demoCodeLink,vignetteCodeLink,fullCodeLink",base,1,2,0
3,Overview,o,Software,o_software,Data availability,o_software_3,"Availability of data outputs (e.g., predicitons, uncertainty). You might include data repository, web address, etc.. If data is unavailable you might want to explain why and/or how to request them.",text_details,,,0,1,1,1,code,"demoDataLink,vignetteDataLink,fullDataLink",base,1,3,0
1,Data,d,Biodiversity data,d_bio,Ecological level,d_bio_1,Ecological level: choose from list or insert new values,suggestion,,"Individuals, Communities, Populations, Operational Taxonomic Units, Species",0,1,1,1,,,,,0,0
2,Data,d,Biodiversity data,d_bio,Data sources,d_bio_2,"Details on species data source.  You are allow to upload a table which might these fields: Initiative/Project,  Description, DOI, Spartial and Temporal sampling design, Website, Accession date, Version",text,,,0,1,1,1,data$occurrence,sources,base,1,0,1
3,Data,d,Biodiversity data,d_bio,Cleaning,d_bio_3,"Details on data cleaning (if applicable): e.g., taxonomically, spatially, temporally cleaning (slect from the table).",data_cleaning,,,1,1,1,1,"dataPrep$biological$duplicateRemoval,dataPrep$biological$questionablePointRemoval,dataPrep$biological$cultivatedRemoval,dataPrep$biological$nonNativeRemoval,dataPrep$geographic$geographicalOutlierRemoval, dataPrep$geographic$centroidRemoval,dataPrep$geographic$pointInPolygon,dataPrep$geographic$altitudeRemoval","rule,notes",dataPrep,0,0,0
4,Data,d,Biodiversity data,d_bio,Data integration,d_bio_4,What type of methods you used for integrating data sets from multiple sources? (if applicable).,data_integration,,,1,1,1,1,,,,,0,0
5,Data,d,Biodiversity data,d_bio,Absence data,d_bio_5,"Details on absence data collection, if applicable",text,,,0,1,1,1,data$occurrence,absenceSampleSize,"occurrence, pa",0,0,0
6,Data,d,Biodiversity data,d_bio,Background data,d_bio_6,"Details on background data derivation, if applicable: e.g., spatial and temporal extent, spatial and temporal buffer, bias correction (e.g. target group sampling)",text,,,0,1,1,1,data$occurrence,"backgroundSampleSizeSet,backgroundSampleSizeRule","occurrence, po",0,0,0
1,Data,d,Data partitioning,d_part,Method used for validation,d_part_1,Selection of training data (for model fitting),suggestion,,"Non-spatial Partitioning: Jackknife (k=n), Non-spatial Partitioning: Random k-fold, Spatial Partitioning: Block (k=4), Spatial Partitioning: Checkerboard, Spatial Partitioning: Spatial Cross-Validation
",0,0,1,1,,,,,0,0
2,Data,d,Data partitioning,d_part,Testing data set,d_part_2,"Do you used independent data to test your model? if so, provide a short description.",text,,,1,0,1,1,,,,,0,0
1,Data,d,Predictor variables,d_pred,Predictor variables (Covariates),d_pred_1,Please select from the list all predictor variables (covariates) you used  in your model.  Plase add covariates.qmd to the Shiny app,covariates,,,0,1,1,1,data$environment,variableNames,base,1,0,1
2,Data,d,Predictor variables,d_pred,Predictor variables rationale,d_pred_2,Predictor variables rationale,text_details,"Explain why covariates were selected? And, why other covariates were not included in the model (if any)",,,,,,,,,,0,1
1,Data,d,Transfer data,d_proj,Data sources,d_proj_1,"Details on data sources: e.g., URL/DOI, accession date, database version",text,,,0,0,0,1,data$transfer$environment1,sources,transferEnv1,1,0,0
2,Data,d,Transfer data,d_proj,Spatial extent,d_proj_2,Spatial extent of transfer data,extent,,,0,1,1,1,data$transfer$environment1,"extentSet,extentSet",transferEnv1,0,0,0
3,Data,d,Transfer data,d_proj,Spatial resolution,d_proj_3,Spatial resolution of transfer data,text,,,0,1,1,1,data$transfer$environment1,resolution,transferEnv1,1,0,0
4,Data,d,Transfer data,d_proj,Temporal extent,d_proj_4,Temporal extent of transfer data,text,,,0,1,1,1,data$transfer$environment1,"yearMin,yearMax",transferEnv1,0,0,0
5,Data,d,Transfer data,d_proj,Temporal resolution,d_proj_5,"Temporal resolution of transfer data, if applicable",text,,,1,1,1,1,,,,,0,0
6,Data,d,Transfer data,d_proj,Models and scenarios,d_proj_6,Models and scenarios used,text,,,0,0,0,1,,,,,0,0
7,Data,d,Transfer data,d_proj,Data processing,d_proj_7,Details on data processing and scaling (see section Predictor variables),text,,,1,0,0,1,,,,,0,0
8,Data,d,Transfer data,d_proj,Quantification of Novelty,d_proj_8,"Quantification of novel environmental conditions and novel environmental combinations: e.g., distance to training data",text,,,0,0,0,1,,,,,0,0
1,Model,m,Variable pre-selection,m_preselect,Variable pre-selection,m_preselect_1,"Details on pre-selection of variables, if applicable",text,,,1,1,1,1,,,,,0,0
1,Model,m,Multicollinearity,m_multicol,Multicollinearity,m_multicol_1,"Methods for identifying and dealing with multicollinearity (Dormann, et al. 2013) or justification if multicollinearity is not explicitly dealt with",text,,,0,1,1,1,,,,,0,0
1,Model,m,Model settings,m_settings,Model settings (fitting),m_settings_1,Model settings for all selected algorithms (including default settings of specific platforms/packages),model_setting,,,0,1,1,1,,,,,0,1
2,Model,m,Model settings,m_settings,Model settings (extrapolation),m_settings_2,"Model settings for extrapolation beyond sample range, if applicable: e.g., clamping",text,,,0,0,0,1,prediction$transfer$environment1,extrapolation,base,1,0,0
1,Model,m,Model estimates,m_estim,Coefficients,m_estim_1,"Assessment of model coefficients, e.g. median or mean posterior",text,,,0,1,1,1,,,,,0,0
2,Model,m,Model estimates,m_estim,Parameter uncertainty,m_estim_2,"Details on quantification of parameter uncertainty, e.g. resampling",text,,,1,1,1,1,model$resampling,"resamplingRule,notes",NULL,0,0,0
3,Model,m,Model estimates,m_estim,Variable importance,m_estim_3,Describe how variable importance was asssessed,text,,,1,1,1,1,,,,,0,0
1,Model,m,Model selection - model averaging - ensembles,m_selection,Model selection,m_selection_1,"Model selection strategy: e.g. information-theoretic approach for variable selection, shrinkage and regularization",text,,,1,1,1,1,model,selectionRules,base,1,0,0
2,Model,m,Model selection - model averaging - ensembles,m_selection,Model averaging,m_selection_2,Method for model averaging: e.g. derivation of weights,text,,,1,1,1,1,,,,,0,0
3,Model,m,Model selection - model averaging - ensembles,m_selection,Model ensembles,m_selection_3,"Ensemble method: e.g. initial conditions (input data), model classes, model parameters, boundary conditions",text,,,1,1,1,1,model$ensemble,"weighting, ensembleRule",ensemble,0,0,0
1,Model,m,Analysis and Correction of non-independence,m_depend,Spatial autocorrelation,m_depend_1,Method for addressing spatial autocorrelation in residuals,text,,,0,1,1,1,,,,,0,0
2,Model,m,Analysis and Correction of non-independence,m_depend,Temporal autocorrelation,m_depend_2,Method for addressing temporal autocorrelation in residuals,text,,,1,1,1,1,,,,,0,0
3,Model,m,Analysis and Correction of non-independence,m_depend,Nested data,m_depend_3,"Method to account for nested data: e.g., fixed and random effects",text,,,1,1,1,1,,,,,0,0
1,Model,m,Threshold selection,m_threshold,Threshold selection,m_threshold_1,"Details on threshold selection, if applicable: transforming continuous predictions into binary predictions",text,,,0,0,1,1,prediction$binary,"thresholdSet,thresholdRule",base,1,0,0
1,Assessment,a,Performance statistics,a_perform,Performance on training data,a_perform_1,Performance statistics estimated on training data: choose from list or insert new values,suggestion,,"AUC,AIC,BIC,DIC,Kappa,TSS,False positive rate, True positive rate, False negative rate, True negative rate",0,1,1,1,assessment$trainingDataStats,metric,,1,0,1
2,Assessment,a,Performance statistics,a_perform,Performance on validation data,a_perform_2,Performance statistics estimated on validation data (from data partitioning): choose from list or insert new values,suggestion,,"AUC,AUC difference,AIC,BIC,DIC,Kappa,TSS,False positive rate,True positive rate,False negative rate,True negative rate",0,0,1,1,assessment$testingDataStats,metric,,1,0,1
3,Assessment,a,Performance statistics,a_perform,Performance on test data,a_perform_3,Performance statistics estimated on test (truly independent) data: choose from list or insert new values,suggestion,,"AUC,AUC difference,AIC,BIC,DIC,Kappa,TSS,False positive rate,True positive rate,False negative rate,True negative rate",0,0,1,1,assessment$evaluationDataStats,metric,,1,0,1
1,Prediction,p,Prediction output,p_output,Post-processing,p_output_1,"Post-processing, e.g. clipping, reprojection",text,,,1,0,1,1,,,,,0,0
1,Prediction,p,Uncertainty quantification,p_uncertainty,Algorithmic uncertainty,p_uncertainty_1,"Algorithmic uncertainity, if applicable",text,,,1,0,1,1,prediction$uncertainty,algorithmic,,1,0,0
2,Prediction,p,Uncertainty quantification,p_uncertainty,Input data uncertainty,p_uncertainty_2,"Uncertainty in input data, if applicable",text,,,1,0,1,1,prediction$uncertainty,inputData,,1,0,0
3,Prediction,p,Uncertainty quantification,p_uncertainty,Parameter uncertainty,p_uncertainty_3,"Effect of parameter uncertainty, error propagation, if applicable",text,,,1,0,1,1,,,,,0,0
4,Prediction,p,Uncertainty quantification,p_uncertainty,Scenario uncertainty,p_uncertainty_4,"Uncertainty in scenarios (e.g. climate models, land use models, storylines)",text,,,0,0,0,1,prediction$uncertainty,scenario,,1,0,0
5,Prediction,p,Uncertainty quantification,p_uncertainty,Novel environments,p_uncertainty_5,"Visualization/treatment of novel environments: e.g., masking",text,,,0,0,0,1,,,,,0,0
