Concept,Definition
Spatial extent,"""In Species Distribution Models (SDMs), spatial extent refers to the area over which a model is applied to predict the distribution of a species. It's the total geographical area under consideration when building and validating the SDM. A smaller spatial extent might focus on a local region, while a larger extent might encompass a continent or even the globe."" (Google 2025)."
Spatial reference,SpatialReference.org is a comprehensive online resource dedicated to providing detailed information and reference materials on spatial coordinate reference systems.
Spatial resolution,"""Spatial resolution or grain refers to the level of detail or granularity at which data are collected, represented, or analysed in a spatial context. It can also be thought of as the size of the smallest spatial unit in a dataset (i.e. pixel size)"" (Moudrý et al. 2024)"
Spatial thining,"Spatial filtering in Species Distribution Models (SDMs) is a technique used to reduce sampling bias in occurrence data. It involves removing or ""thinning"" some occurrence points that are clustered closely together, to better reflect a potentially more accurate distribution of the species. This is particularly important when occurrence data is unevenly distributed or clustered, which can lead to biased models. (Google 2025, see also Steen et al 2020, Boria et al. 2014, Baker et al. 2023). "
Spatially nested SDMs (N-SDMs)," ""N-SDMs combine a coarse-resolution SDM fitted over the entire species range (often at global or continental scale) with a fine-resolution SDM fitted over the extent desired for the study (often at national, regional or local scales; Figures 2 and 3). In the N-SDM strategy, models are fitted at different extents and resolutions, but are spatially nested within each other (e.g. Araujo et al., 2005; Gastón & García-Viñas, 2010; Keil et al., 2013; Mateo, Aroca-Fernández, et al., 2019)."" (Guisan et al. 2025)."
spatio-temporal data integration,"spatio-temporal data integration refers to spatio-temporally explicit integration of data (e.g., Seaton et al. 2024, Isaac et al. 2020)."
Species-covariates correlations,Variables included in the models do in fact reflect the niche requirements of a species
Specificity,"""The proportion of observed presences that were correctly predicted to be present by the SDM."" (Lee-Yaw et al. 2021)."
State variables,
Target output (Model utility and applicability),"Identifying the utility, applicability and objective(s) of implementing a model will help multiple users and partners to understand why models are developed for (e.g., Guillera et al. 2015). "
Temporal extent,"It describes the period of time an event, (e.g., specific year (e.g., 2002) or a range (2005-2020)"
Temporal resolution,"It refers to the frequency with which data or measurements are collected over time (e.g., every week during the breeding season June-Sep). "
Threshold,"""In Species Distribution Models (SDMs), thresholds are used to convert continuous predictions (e.g., probabilities of presence) into binary predictions (e.g., presence/absence). These thresholds determine the minimum probability required for a location to be classified as a suitable habitat. Different threshold selection methods can impact the predicted range size and changes therein."" (Google 2025, see also Scherrer et al. 2018). For occurrence site see Shim et al. (2023)."
TNR (True negative rate),"""Also known as Specificity, measures the proportion of actual negatives (absence of the taxon) that are correctly identified"" (Lazagabaster et al. 2024)."
TPR (True positive rate),"""Also known as Sensitivity or Recall, measures the proportion of actual positives (presence of the taxon) that are correctly identified by the model""  (Lazagabaster et al. 2024)."
Transferability,"""Transferability in Species Distribution Models (SDMs) refers to the ability of a model built in one area (e.g., for a species' native range) to accurately predict the species' distribution in a different area or under different conditions"" (Google 2025, see also (Werkowska et al. 2016, Rousseau & Betts 2022, Charney et al. 2021)"
transformation,
TSS (True skill statistic),"""Quantifies the model's ability to avoid both false positives and false negatives"" (Lazagabaster et al. 2024). TPR+ TNR-1"
Uncertainty,"""Uncertainty in Species Distribution Models (SDMs) refers to the inherent variability and imprecision in the predicted distribution of a species due to various factors influencing the modeling process, data, and assumptions."" (Goolge 2025). For instance, (1) unceratinty in model inputs such a covariates data sets (e.g., climate variables Fernandez et al. 2013), and uncertainty in species datasets that arises from several factors, including data completeness, taxonomic quality, temporal decay, spatial and environmental distance, and the inherent variability in ecological processes (e.g., Naimi et al. 2013, Fernandes et al. 2019, Gabor et al. 2023). (2) uncertainty in model predictions, that is the inherent variability or lack of perfect knowledge in the predictions made by a model, (e.g., Baele & Lennon 2012). (3) uncertainty in model bulding (4) uncertainty in statistical anlaysis, parametrization, selection and evlaution (e.g., Gould et al. 2014)."
upscaling,
URL (Uniform Resource Locator),"""A Uniform Resource Locator (URL) is a string of characters that identifies the location of a specific resource on the internet, such as a webpage, file, or image"" (Google 2025)."
Validation data,"In Species Distribution Models (SDMs), validation data is a portion of the data set that is not used to train the model but is instead used to evaluate its predictive accuracy and performance"" (Google 2025)."
Model reliability,"""In the context of species distribution models (SDMs), ""model reliability"" refers to the accuracy and consistency of the model's predictions, particularly in terms of its ability to accurately represent the observed distribution of a species and its capacity to generalize to new data or situations. It essentially measures how well the model's predictions align with the real-world distribution of the species."" (Google 2025, see also Bryn et al. 2021)."
Model plausibility,"""In Species Distribution Models (SDMs), model plausibility refers to the degree to which a model's predictions align with ecological understanding and observed patterns. It's a crucial aspect of model evaluation, ensuring that the model's results make sense within the context of the species and its environment. A plausible model not only accurately predicts species occurrences but also reflects biologically realistic relationships between species and their environment."" (Google 2025)"
